product_id;sku;ean;name;Kod producenta
212560853;1000128;4250928695000;Maszynka praska do hamburgerów śr. 100mm;1000128
212560854;1000129;4260223027574;Szufelka dozownik do maszyny popcornu Royal Catering;1000129
212560855;1000130;4260223027581;Regał ze stali nierdzewnej gastronomiczny 120x48,5x155cm;1000130
212560856;1000131;4250928695024;Wózek kelnerski HoReCa stalowy 3 półkowy;1000131
212560857;1000132;4260223028984;Ręczna krajalnica szatkownica do ziemniaków na frytki;1000132
212560858;1000133;4260223027642;Ręczna maszyna do frytek na patyku twister chips;1000133
212560859;1000134;4250928686855;Makaroniarka warnik do gotowania makaronu pierogów 2 komory z kranikami;1000134
212560860;1000135;4260223027680;Makaroniarka warnik do gotowania makaronu pierogów z bemarem 3 komory;1000135
212560861;1000136;4260223027673;Makaroniarka warnik do gotowania makaronu pierogów 3 komory z kranikami;1000136
212560862;1000139;4260223027727;Witryna grzewcza ekspozycyjna ciepłej żywności 1000W szer. 64cm;1000139
212560863;1000140;4260223027772;Grill kontaktowy dwustronny Panini;1000140
212560864;1000141;4260223027765;Grill kontaktowy dwustronny ryflowany Panini;1000141
212560865;1000142;4260223027789;Grill kontaktowy podwójny dwustronny ryflowany;1000142
212560866;1000143;4260223027819;Toster Opiekacz salamander Timer 2000W;1000143
212560867;1000144;4260223027826;Naleśnikarka okrągła pokryta teflonem średnica 40cm;1000144
212560868;1000145;4250928622914;Podgrzewacz do czekolady sosów suchy bemar 2 GN z pokrywkami;1000145
212560869;1000146;4260223027833;Grill elektryczny z wysokim rantem szer. 55cm;1000146
212560870;1000147;4260223027840;Grill elektryczny z wysokim rantem szer. 75cm;1000147
212560871;1000148;4260223027857;Naleśnikarka pojedyncza płyta okrągła śr. 40cm;1000148
212560872;1000150;4250928694942;Frytownica elektryczna pojedyncza 5L;1000150
212560873;1000151;4260223027918;Frytownica elektryczna podwójna 2x5L;1000151
212560874;1000153;4260223028328;Ręczna krajalnica do cebuli RCZS 1 Royal Catering;1000153
212560875;1000154;4260223028335;Ręczna krajalnica do owoców RCOT 8 Royal Catering;1000154
212560876;1000155;4260223028342;Ręczna krajalnica do warzyw owoców RCGT 2 Royal Catering;1000155
212560877;1000156;4260223028359;Ręczna krajalnica do warzyw owoców RCGT 1 Royal Catering;1000156
212560878;1000167;4260223027758;Gofrownica prostokątna na 2 gofry belgijskie;1000167
212560879;1000168;4260223027802;Gofrownica prostokątna podwójna na 4 gofry belgijskie;1000168
212560880;1000169;4260223027741;Gofrownica okrągła podwójna Teflon gofry o średnicy 18,5cm;1000169
212560881;1000170;4260223027734;Gofrownica okrągła pojedyncza Teflon gofr o średnicy 18,5cm;1000170
212560882;1000171;4260223027697;Gofrownica do gofrów na patyku corn dogów Teflon;1000171
212560883;1000172;4260223027796;Gofrownica pokryta teflonem do gofrów okrągłych rozeta serca śr. 21cm;1000172
212560884;1000173;4260223022579;Grill rolkowy z pokrywą roller podgrzewacz do parówek 5 rolek;1000173
212560885;1000174;4260223022593;Grill rolkowy z pokrywą roller podgrzewacz do parówek 7 rolek;1000174
212560886;1000175;4260223022425;Grill rolkowy z pokrywą roller podgrzewacz do parówek 9 rolek;1000175
212560887;1000176;4260223022586;Grill rolkowy z pokrywą roller podgrzewacz do parówek 11 rolek;1000176
212560888;1000177;4260223024481;Wózek platformowy składany stalowy HoReCa platforma 70x52cm;1000177
212560889;1000178;4260223024740;Stół do kuchni blat roboczy ze stali nierdzewnej z rantem dolną 200x60cm;1000178
212560890;1000179;4250928695048;Stół do kuchni blat roboczy ze stali nierdzewnej z rantem dolną 120x60cm;1000179
212560891;1000181;4260223024771;Stół do kuchni blat roboczy ze stali nierdzewnej z rantem dolną 100x60cm;1000181
212560892;1000182;4260223024788;Stół do kuchni blat roboczy ze stali nierdzewnej z rantem dolną 100x70cm;1000182
212560893;1000183;4260223024795;Stół do kuchni blat roboczy stal nierdzewna dolną półka 200x60cm;1000183
